Protein.uniprotID	Protein.proID
Q60948	PR_Q60948
P24470	PR_P24470
Q8LFV3	PR_Q8LFV3
Q8BHB0	PR_Q8BHB0
P29975	PR_P29975
Q9EST2	PR_Q9EST2
P56192	PR_P56192
P57759	PR_P57759
Q3EBC8	PR_Q3EBC8
P20385	PR_P20385
Q5F352	PR_Q5F352
Q9VCR6	PR_Q9VCR6
D4AD53	PR_D4AD53
Q5M9G1	PR_Q5M9G1
Q9VVH9	PR_Q9VVH9
O74389	PR_O74389
O59683	PR_O59683
Q99594	PR_Q99594
Q8GUN5	PR_Q8GUN5
Q9PWL5	PR_Q9PWL5
Q9HE04	PR_Q9HE04
Q9Y1J3	PR_Q9Y1J3
Q9JJV1	PR_Q9JJV1
P97302	PR_P97302
Q9H3H3	PR_Q9H3H3
Q9D4H8	PR_Q9D4H8
Q1LX49	PR_Q1LX49
Q5BK32	PR_Q5BK32
Q95RU0	PR_Q95RU0
Q9STE5	PR_Q9STE5
O36022	PR_O36022
Q63912	PR_Q63912
P31645	PR_P31645
D0G895	PR_D0G895
Q5HP65	PR_Q5HP65
B9DHT4	PR_B9DHT4
Q9QZ85	PR_Q9QZ85
Q5A029	PR_Q5A029
Q9UTL2	PR_Q9UTL2
P49866	PR_P49866
Q9LYE4	PR_Q9LYE4
P52020	PR_P52020
Q8WYK1	PR_Q8WYK1
P53812	PR_P53812
Q5AK42	PR_Q5AK42
P07252	PR_P07252
E7FDK2	PR_E7FDK2
P32443	PR_P32443
Q8CEG5	PR_Q8CEG5
Q9LTV0	PR_Q9LTV0
Q9FL17	PR_Q9FL17
B0BNA5	PR_B0BNA5
Q04177	PR_Q04177
Q2G0M7	PR_Q2G0M7
P97564	PR_P97564
Q2FWD0	PR_Q2FWD0
A1A5W9	PR_A1A5W9
A8MSA6	PR_A8MSA6
Q9Z2I8	PR_Q9Z2I8
A1XJK0	PR_A1XJK0
Q9CZ09	PR_Q9CZ09
Q9CR60	PR_Q9CR60
P10284	PR_P10284
Q0VGT4	PR_Q0VGT4
A0A1B0GU29	PR_A0A1B0GU29
