Chemical.meshID	Chemical.chebiID
MESH_C080871	CHEBI_75307
MESH_C432165	CHEBI_90695
MESH_C540376	CHEBI_50587
MESH_C074619	CHEBI_59173
MESH_C063834	CHEBI_61619
MESH_D002133	CHEBI_31346
MESH_C000706175	CHEBI_150869
MESH_C039004	CHEBI_32030
MESH_C089946	CHEBI_50992
MESH_D010394	CHEBI_7954
MESH_C000624232	CHEBI_6079
MESH_C080955	CHEBI_73458
MESH_C000605269	CHEBI_145374
MESH_D009269	CHEBI_7458
MESH_C094849	CHEBI_36331
MESH_C076339	CHEBI_5988
MESH_C033857	CHEBI_8083
MESH_C023010	CHEBI_15695
MESH_C022120	CHEBI_29534
MESH_D000072376	CHEBI_53030
MESH_C581774	CHEBI_167651
MESH_C055224	CHEBI_70966
MESH_C081643	CHEBI_149509
MESH_C416282	CHEBI_176500
MESH_C020845	CHEBI_33472
MESH_C000615311	CHEBI_37972
MESH_C555185	CHEBI_70240
MESH_C035114	CHEBI_8810
MESH_C540360	CHEBI_65790
MESH_D007664	CHEBI_35789
MESH_D001194	CHEBI_46661
MESH_C067500	CHEBI_77867
MESH_C002872	CHEBI_15851
MESH_D019980	CHEBI_2677
MESH_C007787	CHEBI_5177
MESH_C012796	CHEBI_41607
MESH_C000590223	CHEBI_48397
MESH_D015765	CHEBI_53778
MESH_C060040	CHEBI_143266
MESH_C408747	CHEBI_28151
MESH_C057944	CHEBI_7085
MESH_C408881	CHEBI_50723
MESH_C038792	CHEBI_19567
MESH_C110557	CHEBI_2701
MESH_C006737	CHEBI_83537
MESH_C025079	CHEBI_31803
MESH_C014557	CHEBI_76138
MESH_D011346	CHEBI_8435
MESH_C035066	CHEBI_38825
MESH_C015654	CHEBI_15336
MESH_C032613	CHEBI_40585
MESH_C058417	CHEBI_28239
MESH_C046384	CHEBI_135775
MESH_C043967	CHEBI_133066
MESH_C002963	CHEBI_48861
MESH_C000593296	CHEBI_9328
MESH_D007773	CHEBI_24997
MESH_C011362	CHEBI_9447
MESH_C018406	CHEBI_83536
MESH_C105515	CHEBI_4746
MESH_C000590793	CHEBI_36742
MESH_D000214	CHEBI_17984
MESH_C047675	CHEBI_156485
MESH_C032157	CHEBI_41033
MESH_C040717	CHEBI_34537
MESH_D002395	CHEBI_33567
MESH_C078143	CHEBI_64119
MESH_C069156	CHEBI_9436
MESH_C040135	CHEBI_90476
MESH_C059956	CHEBI_17429
MESH_D002996	CHEBI_3752
MESH_C036363	CHEBI_62870
MESH_C063533	CHEBI_4681
MESH_C500482	CHEBI_31789
MESH_C016980	CHEBI_134994
MESH_C039648	CHEBI_26381
MESH_C009558	CHEBI_58064
MESH_D001556	CHEBI_24536
MESH_D006531	CHEBI_42334
MESH_C515287	CHEBI_46734
MESH_C083116	CHEBI_2966
MESH_C000626018	CHEBI_143567
MESH_C527198	CHEBI_141601
MESH_C016904	CHEBI_134081
MESH_D002744	CHEBI_52013
MESH_C046248	CHEBI_90055
MESH_D000077489	CHEBI_28568
MESH_D002355	CHEBI_91834
MESH_C040137	CHEBI_136423
MESH_C000613355	CHEBI_2110
MESH_C001556	CHEBI_6542
MESH_C511616	CHEBI_73886
MESH_C089595	CHEBI_88044
MESH_D007785	CHEBI_17716
MESH_C003600	CHEBI_34133
MESH_C033936	CHEBI_28859
MESH_C103273	CHEBI_37500
MESH_D000409	CHEBI_16449
MESH_C094385	CHEBI_146258
MESH_D009294	CHEBI_35482
MESH_C020366	CHEBI_28630
MESH_C585647	CHEBI_6642
MESH_D003350	CHEBI_28324
MESH_D013442	CHEBI_9342
MESH_D047311	CHEBI_15864
MESH_C441667	CHEBI_3681
MESH_C513519	CHEBI_36810
MESH_C038405	CHEBI_7599
MESH_C009824	CHEBI_67128
MESH_C086717	CHEBI_90712
MESH_C449037	CHEBI_2528
MESH_C496116	CHEBI_53220
MESH_D000077408	CHEBI_77590
MESH_D064098	CHEBI_50275
MESH_C013111	CHEBI_87824
MESH_C053858	CHEBI_16729
MESH_C004748	CHEBI_135900
MESH_D013267	CHEBI_26776
MESH_C018967	CHEBI_51078
MESH_D017262	CHEBI_26672
MESH_D005913	CHEBI_5384
MESH_C033807	CHEBI_34976
MESH_C084079	CHEBI_132267
MESH_C008580	CHEBI_7468
MESH_C019286	CHEBI_3830
MESH_C031375	CHEBI_7989
MESH_D010546	CHEBI_8028
MESH_C115945	CHEBI_81278
MESH_C059691	CHEBI_73534
MESH_C016448	CHEBI_135595
MESH_C092913	CHEBI_34499
MESH_C018989	CHEBI_17742
MESH_C002997	CHEBI_90284
MESH_C512015	CHEBI_60342
MESH_C079465	CHEBI_131609
MESH_C024509	CHEBI_142060
MESH_C017226	CHEBI_15375
MESH_D000925	CHEBI_50249
MESH_C460621	CHEBI_65700
MESH_C039973	CHEBI_64245
MESH_D008802	CHEBI_6919
MESH_C559147	CHEBI_68647
MESH_C034171	CHEBI_34680
MESH_D016190	CHEBI_31355
MESH_D008277	CHEBI_31794
MESH_D003366	CHEBI_3901
MESH_C534277	CHEBI_69844
MESH_C020243	CHEBI_9679
MESH_C005864	CHEBI_15884
MESH_C005413	CHEBI_16096
MESH_C005756	CHEBI_28478
MESH_C107773	CHEBI_8630
MESH_C408747	CHEBI_30939
MESH_C026899	CHEBI_75248
MESH_C013099	CHEBI_52492
MESH_C098320	CHEBI_119486
MESH_C052128	CHEBI_18169
MESH_D001280	CHEBI_15930
MESH_C482741	CHEBI_66181
MESH_C008374	CHEBI_89993
MESH_C010972	CHEBI_17071
MESH_C100008	CHEBI_27820
MESH_C034221	CHEBI_15600
MESH_C025184	CHEBI_135761
MESH_C024353	CHEBI_8809
MESH_C037275	CHEBI_48452
MESH_C055786	CHEBI_15920
MESH_D013835	CHEBI_9532
MESH_D004602	CHEBI_33250
MESH_C001388	CHEBI_72753
MESH_D000077560	CHEBI_608828
MESH_C413580	CHEBI_78307
MESH_C546016	CHEBI_82717
MESH_C488123	CHEBI_49019
MESH_C037974	CHEBI_59429
MESH_C018961	CHEBI_87184
MESH_C543884	CHEBI_66174
MESH_C046143	CHEBI_84874
MESH_C061725	CHEBI_1394
MESH_C007005	CHEBI_364453
MESH_C533530	CHEBI_69081
MESH_C023644	CHEBI_136518
MESH_C053484	CHEBI_44842
MESH_C481241	CHEBI_167003
MESH_C023482	CHEBI_31560
MESH_C015728	CHEBI_33050
MESH_C487613	CHEBI_39386
MESH_C001358	CHEBI_24624
MESH_C102663	CHEBI_57894
MESH_C045667	CHEBI_32635
MESH_C000655244	CHEBI_133738
MESH_D000995	CHEBI_33231
MESH_D007547	CHEBI_6060
MESH_D044946	CHEBI_50128
MESH_C081914	CHEBI_421840
MESH_D008276	CHEBI_6637
MESH_C075712	CHEBI_37405
MESH_C040660	CHEBI_34388
MESH_D009354	CHEBI_33372
MESH_C009758	CHEBI_28994
MESH_C005307	CHEBI_66931
MESH_C006741	CHEBI_69499
MESH_C006890	CHEBI_141968
MESH_C083165	CHEBI_35413
MESH_C067193	CHEBI_5677
MESH_C004780	CHEBI_17081
MESH_C008503	CHEBI_62875
MESH_D061207	CHEBI_22986
MESH_C025947	CHEBI_37601
MESH_C005417	CHEBI_15842
MESH_D002725	CHEBI_35255
MESH_C006303	CHEBI_74545
MESH_C088869	CHEBI_4613
MESH_D006852	CHEBI_5778
MESH_D014414	CHEBI_27998
MESH_C000693	CHEBI_9008
MESH_C013641	CHEBI_32408
MESH_C008898	CHEBI_18386
MESH_C004174	CHEBI_27940
MESH_C569296	CHEBI_28273
MESH_C034145	CHEBI_73741
MESH_C010118	CHEBI_34368
MESH_D008874	CHEBI_6931
MESH_C017183	CHEBI_4367
MESH_C040947	CHEBI_44482
MESH_C014732	CHEBI_72596
MESH_C048944	CHEBI_57676
MESH_C089382	CHEBI_6198
MESH_C072173	CHEBI_131785
MESH_D009596	CHEBI_25562
MESH_C021280	CHEBI_53770
MESH_C087593	CHEBI_82474
MESH_C002882	CHEBI_46966
MESH_D020910	CHEBI_6129
MESH_C475474	CHEBI_20106
MESH_D013747	CHEBI_64029
MESH_C015247	CHEBI_5497
MESH_C052595	CHEBI_39387
MESH_C013026	CHEBI_149463
MESH_C053154	CHEBI_55327
MESH_C403469	CHEBI_44836
MESH_C013606	CHEBI_53216
MESH_C015490	CHEBI_75291
MESH_D019161	CHEBI_35664
MESH_C007147	CHEBI_9627
MESH_C000596573	CHEBI_145683
MESH_C033353	CHEBI_37830
MESH_C092705	CHEBI_38000
MESH_C000602409	CHEBI_173616
MESH_C432979	CHEBI_9018
MESH_D007476	CHEBI_24869
MESH_C099565	CHEBI_82569
MESH_D015365	CHEBI_157175
MESH_C013809	CHEBI_15887
MESH_C000615147	CHEBI_33491
MESH_C044659	CHEBI_36264
MESH_D008753	CHEBI_28124
MESH_C000615434	CHEBI_52758
