Protein.proID	Cofactor.chebiID
PR_Q9NPA2	CHEBI_29108
PR_Q99743	CHEBI_30413
PR_Q9BZQ4	CHEBI_18420
PR_Q15818	CHEBI_29108
PR_P78562	CHEBI_29105
PR_P23458	CHEBI_18420
PR_Q9Y2K7	CHEBI_29033
PR_Q495T6	CHEBI_29105
PR_O15439	CHEBI_18420
PR_Q5VT25	CHEBI_18420
PR_P36957	CHEBI_83088
PR_Q14432	CHEBI_60240
PR_O60658	CHEBI_60240
PR_Q9UHY7	CHEBI_18420
PR_P49961	CHEBI_29108
PR_P49961	CHEBI_18420
PR_Q03426	CHEBI_18420
PR_Q9Y3D2	CHEBI_29105
PR_Q9Y303	CHEBI_60240
PR_Q8NFP7	CHEBI_18420
PR_Q8NFP7	CHEBI_29035
PR_Q9BW91	CHEBI_18420
PR_Q9BW91	CHEBI_29035
PR_P08559	CHEBI_58937
PR_P27815	CHEBI_60240
PR_Q08493	CHEBI_60240
PR_Q9NP56	CHEBI_60240
PR_Q9BRX2	CHEBI_60240
PR_Q9BXS1	CHEBI_18420
PR_Q9BZL6	CHEBI_18420
PR_Q5S007	CHEBI_18420
PR_Q9NYL2	CHEBI_18420
PR_P15559	CHEBI_57692
PR_O60361	CHEBI_18420
PR_P46459	CHEBI_18420
PR_P35558	CHEBI_29035
PR_O00750	CHEBI_29108
PR_O00750	CHEBI_18420
PR_O00750	CHEBI_29035
PR_P07202	CHEBI_29108
PR_P07202	CHEBI_60344
PR_Q16584	CHEBI_18420
PR_Q99707	CHEBI_29105
PR_Q99707	CHEBI_28115
PR_P35228	CHEBI_58210
PR_P35228	CHEBI_59560
PR_P35228	CHEBI_57692
PR_P35228	CHEBI_30413
PR_P11182	CHEBI_83088
PR_O15296	CHEBI_24875
PR_Q9UQ53	CHEBI_60240
PR_Q15746	CHEBI_18420
PR_Q15746	CHEBI_29108
PR_Q9Y5S8	CHEBI_57692
PR_Q9Y5S8	CHEBI_58349
PR_P00973	CHEBI_18420
PR_Q9BRC7	CHEBI_29108
PR_P10696	CHEBI_29105
PR_P10696	CHEBI_18420
PR_Q8NI37	CHEBI_18420
PR_Q8NI37	CHEBI_29035
PR_P16083	CHEBI_29105
PR_P16083	CHEBI_57692
PR_P15531	CHEBI_18420
PR_P48163	CHEBI_18420
PR_P48163	CHEBI_29035
PR_Q6UB28	CHEBI_29105
PR_Q6UB28	CHEBI_29033
PR_Q6UB28	CHEBI_29035
PR_Q6UB28	CHEBI_48828
PR_Q8TDX7	CHEBI_18420
PR_Q8TCD5	CHEBI_18420
PR_O95255	CHEBI_18420
PR_O14733	CHEBI_18420
PR_Q6ZVK8	CHEBI_18420
PR_Q6ZVK8	CHEBI_29035
PR_P10515	CHEBI_83088
PR_Q13219	CHEBI_29105
PR_Q68DD2	CHEBI_29108
PR_O95453	CHEBI_18420
PR_P00387	CHEBI_57692
PR_Q32MK0	CHEBI_18420
PR_Q9BYT8	CHEBI_29105
PR_Q8NCW5	CHEBI_29103
PR_Q9H093	CHEBI_18420
PR_Q9Y5Y2	CHEBI_49883
PR_Q86UY8	CHEBI_18420
PR_Q8N543	CHEBI_38290
PR_Q8N543	CHEBI_29033
PR_P29803	CHEBI_58937
PR_P35913	CHEBI_60240
PR_O95747	CHEBI_18420
PR_Q9P2J9	CHEBI_18420
PR_P62136	CHEBI_24875
