Protein.proID	Catalyst.chebiID
PR_Q9Y3L5	CHEBI_37565
PR_Q9Y3L5	CHEBI_58189
PR_Q92963	CHEBI_15377
PR_Q92963	CHEBI_15378
PR_Q92963	CHEBI_43474
PR_Q92963	CHEBI_37565
PR_Q92963	CHEBI_58189
PR_P10301	CHEBI_15377
PR_P10301	CHEBI_15378
PR_P10301	CHEBI_43474
PR_P10301	CHEBI_37565
PR_P10301	CHEBI_58189
PR_Q9HB90	CHEBI_15377
PR_Q9HB90	CHEBI_15378
PR_Q9HB90	CHEBI_43474
PR_Q9HB90	CHEBI_37565
PR_Q9HB90	CHEBI_58189
PR_Q8WXG1	CHEBI_15377
PR_Q8WXG1	CHEBI_15378
PR_Q8WXG1	CHEBI_57844
PR_Q8WXG1	CHEBI_166821
PR_Q8WXG1	CHEBI_17319
PR_Q8WXG1	CHEBI_13193
PR_Q8WXG1	CHEBI_17499
PR_Q8WXG1	CHEBI_37563
PR_Q8WXG1	CHEBI_59789
PR_Q9H7B4	CHEBI_57856
PR_Q9H7B4	CHEBI_29969
PR_Q9H7B4	CHEBI_15378
PR_Q9H7B4	CHEBI_61961
PR_Q9H7B4	CHEBI_59789
PR_P0DMM9	CHEBI_15378
PR_P0DMM9	CHEBI_58339
PR_P0DMM9	CHEBI_58343
PR_P0DMM9	CHEBI_33853
PR_P0DMM9	CHEBI_140317
PR_Q9H6E5	CHEBI_140626
PR_Q9H6E5	CHEBI_140627
PR_Q9H6E5	CHEBI_30616
PR_Q9H6E5	CHEBI_83400
PR_Q9H6E5	CHEBI_33019
PR_Q9H6E5	CHEBI_46398
PR_Q3LXA3	CHEBI_16016
PR_Q3LXA3	CHEBI_59776
PR_Q3LXA3	CHEBI_456215
PR_Q3LXA3	CHEBI_15378
PR_Q3LXA3	CHEBI_17378
PR_Q3LXA3	CHEBI_30616
PR_Q3LXA3	CHEBI_57642
PR_Q3LXA3	CHEBI_76202
PR_Q3LXA3	CHEBI_57692
PR_Q3LXA3	CHEBI_456216
PR_P25325	CHEBI_15361
PR_P25325	CHEBI_15378
PR_P25325	CHEBI_50058
PR_P25325	CHEBI_57678
PR_P25325	CHEBI_29950
PR_P25325	CHEBI_29919
PR_Q32NB8	CHEBI_15378
PR_Q32NB8	CHEBI_60377
PR_Q32NB8	CHEBI_58332
PR_Q32NB8	CHEBI_57597
PR_Q32NB8	CHEBI_60110
PR_Q7Z4N8	CHEBI_15379
PR_Q7Z4N8	CHEBI_50342
PR_Q7Z4N8	CHEBI_16810
PR_Q7Z4N8	CHEBI_61965
PR_Q7Z4N8	CHEBI_16526
PR_Q7Z4N8	CHEBI_30031
PR_Q8IVJ1	CHEBI_18420
PR_Q8IVJ1	CHEBI_29101
PR_P62341	CHEBI_15378
PR_P62341	CHEBI_57783
PR_P62341	CHEBI_50058
PR_P62341	CHEBI_58349
PR_P62341	CHEBI_29950
PR_Q969X2	CHEBI_78569
PR_Q969X2	CHEBI_88073
PR_Q969X2	CHEBI_78568
PR_Q969X2	CHEBI_156395
PR_Q969X2	CHEBI_78571
PR_Q969X2	CHEBI_78445
PR_Q969X2	CHEBI_156398
PR_Q969X2	CHEBI_140623
PR_Q969X2	CHEBI_78572
PR_Q969X2	CHEBI_88079
PR_Q969X2	CHEBI_156396
PR_Q969X2	CHEBI_156397
PR_Q969X2	CHEBI_15378
PR_Q969X2	CHEBI_140624
PR_Q969X2	CHEBI_57812
PR_Q969X2	CHEBI_78452
PR_Q969X2	CHEBI_60377
PR_Q9NPF4	CHEBI_456215
PR_Q9NPF4	CHEBI_15378
PR_Q9NPF4	CHEBI_73682
PR_Q9NPF4	CHEBI_74418
PR_Q9NPF4	CHEBI_74411
PR_P16499	CHEBI_15377
PR_P16499	CHEBI_57746
PR_P16499	CHEBI_15378
PR_P16499	CHEBI_58115
PR_Q9BWT3	CHEBI_140626
PR_Q9BWT3	CHEBI_30616
PR_Q9BWT3	CHEBI_83400
