Phenotype.umls	Phenotype.hpoID
C0024437	HP_0000608
C0338502	HP_0000609
C4025836	HP_0000610
C0008521	HP_0000610
C0240063	HP_0000612
C0085636	HP_0000613
C4025835	HP_0000614
C0154936	HP_0000615
C0026205	HP_0000616
C1836393	HP_0000617
C0271215	HP_0000618
C0456909	HP_0000618
C0271379	HP_0000619
C0010930	HP_0000620
C0014390	HP_0000621
C0344232	HP_0000622
C1408507	HP_0000623
C0521573	HP_0000625
C0546967	HP_0000627
C1858036	HP_0000629
C4021801	HP_0000632
C0235857	HP_0000633
C1846462	HP_0000634
C0578626	HP_0000635
C1863872	HP_0000636
C1849340	HP_0000637
C0028738	HP_0000639
C0271390	HP_0000640
C1836392	HP_0000641
C0155016	HP_0011520
C0155016	HP_0000642
C0155016	HP_0011521
C0005747	HP_0000643
C0002418	HP_0000646
C1853235	HP_0000647
C0029124	HP_0000648
C0522214	HP_0000649
C4025834	HP_0000650
C0012569	HP_0000651
C1837826	HP_0000652
C1843300	HP_0000653
C1839025	HP_0000654
C0013592	HP_0000656
C3489733	HP_0000657
C1142448	HP_0000658
C0344559	HP_0000659
C0339477	HP_0000660
C1846465	HP_0000661
C0028077	HP_0000662
C0431447	HP_0000664
C0271385	HP_0000666
C0271007	HP_0000667
C0020608	HP_0000668
C0011334	HP_0000670
C0399352	HP_0000674
C1835095	HP_0000675
C4082304	HP_0000677
C0040433	HP_0000678
C0266039	HP_0000679
C1849538	HP_0000680
C4021800	HP_0000682
C1854783	HP_0000683
C0239174	HP_0000684
C0235357	HP_0000685
C1844813	HP_0000687
C0024636	HP_0000689
C1849950	HP_0000690
C0240340	HP_0000691
C1852504	HP_0000692
C2981132	HP_0000694
C0027443	HP_0000695
C1849540	HP_0000696
C0266037	HP_0000698
C0011998	HP_0000699
C0034543	HP_0000700
C0031029	HP_0000700
C1852169	HP_0000700
C0011436	HP_0000703
C0017563	HP_0000704
C0031090	HP_0000704
C0031099	HP_0000704
C0002452	HP_0000705
C0040458	HP_0000706
C0497552	HP_0000707
C0233514	HP_0000708
C0004941	HP_0000708
C0033975	HP_0000709
C1838320	HP_0000710
C3887611	HP_0000711
C0085633	HP_0000720
C0085633	HP_0000712
C0085631	HP_0000713
C0011581	HP_0000716
C0004352	HP_0000717
C0424323	HP_0000718
C0424323	HP_0008760
C0001807	HP_0000718
C0233522	HP_0000719
C1837650	HP_0000721
C0028768	HP_0000722
C0600104	HP_0000722
C4021799	HP_0000723
C0338614	HP_0000725
C0497327	HP_0000726
C0338455	HP_0000727
C1837649	HP_0000728
C0856975	HP_0000729
C1510586	HP_0000729
C1837653	HP_0000732
C0038271	HP_0000733
C0038273	HP_0000733
C0424296	HP_0000734
C0150080	HP_0000735
C0262630	HP_0000736
C2700617	HP_0000737
C0235153	HP_0000738
C0018524	HP_0000738
C0003467	HP_0000739
C4020884	HP_0000739
C1387805	HP_0000740
C0085632	HP_0000741
C1833297	HP_0000743
C0548883	HP_0000744
C0011253	HP_0000746
C0424304	HP_0000748
C1839749	HP_0000749
C0233715	HP_0000750
C0023012	HP_0000750
C0241210	HP_0000750
C0454644	HP_0000750
C0240735	HP_0000751
C0424295	HP_0002487
C0424295	HP_0000752
C0001818	HP_0000756
C4021798	HP_0000758
C4721453	HP_0001271
C4721453	HP_0000759
C4025831	HP_0000759
C1857640	HP_0000762
C0151313	HP_0000763
C4025830	HP_0000764
C4021797	HP_0000765
C1860493	HP_0000766
C2051831	HP_0000767
C0158731	HP_0000768
C4025829	HP_0000769
C0018418	HP_0000771
C1842083	HP_0000772
C0426817	HP_0000773
C0426790	HP_0000774
C1848873	HP_0000775
C0235833	HP_0000776
C0262650	HP_0000777
C0685891	HP_0000778
C0685891	HP_0000777
C4025828	HP_0000782
C0232939	HP_0000786
C0392525	HP_0000787
C0021359	HP_0000789
C0018965	HP_0000790
C0403719	HP_0000791
C0017662	HP_0000793
C4025827	HP_0000794
C0017661	HP_0000794
C4025826	HP_0000795
C0041972	HP_0000796
C0028960	HP_0000798
C4021796	HP_0000799
C1834931	HP_0000800
C0242350	HP_0000802
C1969144	HP_0000803
C1848431	HP_0000804
C0014394	HP_0000805
C0452168	HP_0000807
C0452147	HP_0000808
C4025825	HP_0000811
C0266387	HP_0000813
C0948896	HP_0000815
C4021795	HP_0000816
C1445953	HP_0000817
C4025823	HP_0000818
C0014130	HP_0000818
C0011849	HP_0000819
C0040128	HP_0000820
C4317107	HP_0000820
C0020676	HP_0000821
C0020538	HP_0000822
C0034012	HP_0000823
C3714796	HP_0000824
C1864903	HP_0000825
C0034013	HP_0000826
C0030517	HP_0000828
C4025822	HP_0000828
C0020626	HP_0000829
C4025821	HP_0000830
C0854110	HP_0000831
C4316995	HP_0000832
C0001621	HP_0000834
C4021794	HP_0000834
C1846223	HP_0000835
C0020550	HP_0000836
C1862265	HP_0000837
C0013338	HP_0000839
C0302280	HP_0000840
C1846345	HP_0000841
C0020459	HP_0000842
C0020502	HP_0000843
C0001206	HP_0000845
C0235986	HP_0000845
C0001623	HP_0000846
C0240783	HP_0000848
C0010308	HP_0000851
C0033806	HP_0000852
C0018021	HP_0000853
C0151468	HP_0000854
C0151468	HP_0011774
C0021655	HP_0000855
C3278636	HP_0000857
C0156404	HP_0000858
C0020428	HP_0000859
C1389851	HP_0000860
C0687720	HP_0000863
C4025819	HP_0000864
C1846034	HP_0000866
C0020503	HP_0000867
C0151639	HP_0000868
C0232940	HP_0000869
C0020514	HP_0000870
C0242343	HP_0000871
C0677607	HP_0000872
C0011848	HP_0000873
C1857175	HP_0000875
C0028949	HP_0000876
C1837792	HP_0000877
C1839731	HP_0000878
C0575497	HP_0000879
C1846434	HP_0000882
C0426818	HP_0000883
C1846433	HP_0000884
C1848654	HP_0000885
C1838659	HP_0000886
C1865039	HP_0000887
C3806510	HP_0000888
C4021792	HP_0000889
C0426808	HP_0000890
C0158779	HP_0000891
C4721788	HP_0000892
C1848538	HP_0000893
C0426799	HP_0000894
C0426805	HP_0000895
C1835579	HP_0000896
C4551565	HP_0000897
C0426820	HP_0000900
C0265695	HP_0000902
C1854780	HP_0000904
C1837757	HP_0000905
C1846154	HP_0000907
C1861213	HP_0000910
C1855177	HP_0000911
C0152438	HP_0000912
C1842084	HP_0000913
C1834124	HP_0000914
C1864796	HP_0000915
C0426801	HP_0000916
C1864795	HP_0000917
C1851415	HP_0000918
C1857180	HP_0000920
C0426816	HP_0000921
C1837483	HP_0000922
C0426824	HP_0000923
C4021790	HP_0000924
C4021789	HP_0000925
C1844704	HP_0000926
C4025818	HP_0000927
C0235942	HP_0001363
C0235942	HP_0000929
C3280768	HP_0000932
C0553730	HP_0000934
C1840418	HP_0000935
C0747078	HP_0000938
C0029453	HP_0000938
C0029456	HP_0000939
C0029456	HP_0040160
C4021787	HP_0000940
C4025815	HP_0000941
C0086795	HP_0000943
C4025814	HP_0000944
C1861218	HP_0000946
C2749582	HP_0000947
C0037268	HP_0000951
C0037274	HP_0000951
C0022346	HP_0000952
C0162834	HP_0000953
C0221436	HP_0000953
C0424731	HP_0000954
C0000889	HP_0000956
C0265974	HP_0000957
C0221263	HP_0000957
C0259817	HP_0000958
C0151908	HP_0000958
C0426848	HP_0000960
C0010520	HP_0000961
C0870082	HP_0000962
C0423757	HP_0000963
C0013595	HP_0000964
C0013595	HP_0000976
C0263401	HP_0000965
C0020620	HP_0000966
C0553721	HP_0000966
C0031256	HP_0000967
C0013575	HP_0000968
C0013604	HP_0000969
C0003028	HP_0000970
