DATAFLOW,LAST UPDATE,freq,itm_newa,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1980,76.98,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1981,86.26,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1982,109.04,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1983,91.10,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1984,121.74,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1985,112.38,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1986,120.74,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1987,93.95,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1988,98.22,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1989,120.72,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1990,106.26,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1991,101.95,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1992,93.20,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1993,90.42,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1994,104.77,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1995,124.44,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1996,124.45,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1997,117.62,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1998,84.14,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,1999,81.25,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2000,104.87,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2001,126.19,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2002,89.39,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2003,87.61,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2004,98.81,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2006,112.82,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2007,113.74,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2008,65.20,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2009,66.65,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2010,117.50,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2011,132.04,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2012,180.36,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2013,125.35,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,DK,2014,128.65,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1991,86.78,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1992,85.48,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1993,86.01,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1994,94.23,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1995,100.62,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1996,105.15,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1997,105.93,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1998,103.08,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,1999,101.94,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2000,105.32,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2001,110.52,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2002,103.65,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2003,105.73,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2004,109.12,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2005,100.00,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2006,102.59,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2007,112.10,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2008,104.50,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2009,91.98,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2010,108.61,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2011,115.81,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2012,116.47,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2013,122.96,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA11,2014,123.76,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA12,1993,87.76,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA12,1994,96.59,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA12,1995,103.11,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA12,1996,107.03,
ESTAT:AACT_EAA06(1.0),16/12/24 11:00:00,A,IND_A_EURO,I05,EA12,1997,107.75,
