DATAFLOW,LAST UPDATE,freq,itm_newa,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2005,139.24,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2006,133.13,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2007,127.02,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2008,120.66,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2009,114.63,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2010,108.81,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2011,106.20,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2012,105.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2013,105.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2014,104.90,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2015,104.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2016,104.48,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2017,104.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2018,104.34,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2019,102.02,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2020,95.37,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2021,94.77,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2022,93.93,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2023,95.17,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,CZ,2024,95.17,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1991,1137.84,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1992,956.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1993,891.23,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1994,833.97,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1995,792.03,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1996,762.11,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1997,739.94,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1998,727.40,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,1999,714.74,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2000,684.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2001,658.91,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2002,632.47,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2003,610.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2004,592.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2005,582.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2006,568.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2007,554.20,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2008,543.08,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2009,532.18,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2010,521.52,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2011,517.55,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2012,513.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2013,503.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2014,504.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2015,496.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2016,480.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2017,477.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2018,474.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2019,471.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2020,469.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2021,468.00,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2022,463.83,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2023,463.74,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DE,2024,457.20,e
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1973,197.61,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1974,183.95,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1975,175.56,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1976,170.01,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1977,163.32,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1978,157.01,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1979,150.71,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1980,143.60,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1981,137.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1982,129.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1983,127.70,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1984,124.30,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1985,119.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1986,115.50,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1987,111.10,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1988,104.80,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1989,103.58,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1990,104.76,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1991,101.32,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1992,99.04,
ESTAT:AACT_ALI01(1.0),16/12/24 11:00:00,A,40000,DK,1993,97.73,
